"question1","question2","is_duplicate"
इसमें तुमसे पूर्व गुज़रे हुए लोगों के हालात हैं।,"इसमें आपके सामने लोगों की परिस्थितियाँ निहित हैं।
",1
और हम होते कौन हैं यह कहने भी वाले कि वे गलत हैं,"और जो हम कह रहे हैं, यहां तक ​​कि, वे गलत हैं
",1
कृपया यह सुनिश्चित कर लें कि आप सही फॉर्म का प्रयोग कर रहें हैं .,"कृपया सुनिश्चित करें कि आप उपयुक्त फॉर्म का उपयोग करते हैं।
",1
यहाँ पर दो व्यक्तियों के लिए जगह नहीं … । ”,"दो लोगों के लिए इस पर कोई जगह नहीं है… ”
",1
इ-मेल आवेदनपत्रों की मिलने की रसीट स्वतः ही उसी दिन मिल जायेगी ।,"उसी दिन ई-मेल एप्लिकेशन स्वतः स्वीकार किए जाएंगे।
",1
login स्वीकारें यदि उपयोक्ता के होम निर्देशिका पर सभी को लिखने की अनुमति है (i),"यदि उपयोगकर्ता की होम डायरेक्टरी पर सभी अनुमति लिखते हैं तो लॉगिन की अनुमति दें
",1
"हाल में नेपाल के हस्पताल सामन्यतया आयुर्वेद, प्राकृतिक चिकित्सा तथा आधुनिक चिकीत्सा करके सरकारी सेवा विद्यमान हे ।","और अब वर्तमान में नेपाल में सरकार के माध्यम से प्राकृतिक उपचार, आयुर्वेदिक और आधुनिक उपचार हो रहे हैं।
",1
लोकसभा की कार्यावधि 5 वर्ष है पर्ंतु इसे समय से पूर्व भंग किया जा सकता है,"संसद की समय सीमा 5 वर्ष है और इससे पहले इसे भंग कर दिया जाएगा।
",1
यहां तक कि पानी में हाइड्रोजन सल्फाइड की 0.001 पी पी एम मात्रा से भी सड़े हुए अंडे की बदबू आती है .,"यहां तक ​​कि पानी में हाइड्रोजन सल्फाइड के 0.001 पीपीएम की सघनता सड़े हुए अंडे की गंध का उत्सर्जन कर सकती है।
",1
"उसे लगा , जैसे वह एक लम्बे स्वप्न से जाग गया हो । <s> अपने हाथों से सलवटों - भरा चेहरा मलने लगा ।","वह एक लंबे सपने से जागता है और अपने हाथों से अपने उखड़े हुए चेहरे को रगड़ता है।
",1
नरेंद्र ने कौंसिल से तीन या चार मुलाकातें की किंतु उन्होनें महसूस किया कि वे किसी भी प्रकार से बात आगे नही बढ़ा पा रहे है .,"कंस के साथ नरेन की तीन-चार बैठकें हुईं लेकिन उन्होंने पाया कि वह कोई प्रगति नहीं कर रहे हैं।
",1
"जो भी इस झंडे के नीचे खड़ा है वह न हिंदू है , न मुसलमान , बल्कि वह हिंदुस्तानी है .","आज जो भी लोग इस झंडे के नीचे खड़े हैं, वे भारतीय हैं, हिंदू नहीं, मुसलमान नहीं, बल्कि भारतीय हैं।
",1
"और जैसा आप देख रहे है, ये एल.ई.डी. जल उठेगी।","और आप देख सकते हैं, यह एलईडी चमकने वाली है।
",1
,"रोशनी चालू करने के लिए या उसे एक गिलास पानी लाने के लिए,
",1
"लाईट जलाने के लिए या उनके लिए पानी लाने के लिए,","मुगल साहित्य में फारसी दर्शन फ़िरदौस गार्डन को आदर्श के रूप में प्रस्तुत किया गया है।
",1
फारसी रहस्यवाद में मुगल कालीन इस्लामी पाठ्य में फिरदौस को एक आदर्श पूर्णता का बाग बताया गया है।,"सिर के जूँ को जीवित रहने के लिए एक मेजबान के साथ संपर्क बनाए रखने की आवश्यकता होती है।
",1
जिंदा रहने के लिए जूँ किसी जीव के सम्पर्क में रहना आवश्यक है,"तीन: यह एक अच्छी सड़क है - ठीक उसी जगह के पास, जहाँ हमारा कारखाना स्थित है।
",1
तीसरी: ये हमारी फ़ैक्ट्री के पास की एक अपेक्षाकृत बेहतर सडक है।,"गंतव्य फ़ोल्डर ""% s"" मौजूद नहीं है। क्या आप इसे बनाना चाहते हैं?
",1
गंतव्य फ़ोल्डर मौज़ूद “%s” नहीं है. क्या आप इसे तैयार करना चाहेंगे?,"वह कहानी का अंतिम पाठ है।
",1
यह इस कहानी का अंतिम सबक है .,"प्रगतिशील सोच वाले, उन्होंने विधवा पुनर्विवाह और लड़कियों की विवाह योग्य आयु बढ़ाने की वकालत की।
",1
( साक्षरता और संख्यात्मक कार्य जैसा वर्ष १ और २ के लिए और साथ में अन्य विषयों में कभी - कभार दिये जाने वाले नियत कार्य ),"(साक्षरता और संख्या 1 और 2 के लिए और अन्य विषयों में सामयिक असाइनमेंट के साथ)
",1
यह भाप इंजन की अपेक्षा अधिक सस्ता और सक्षम है और इसने भाप इंजन को समाप्त कर दिया है .,"यह भाप इंजन की तुलना में अधिक आर्थिक और कुशल है, जो इसे तेजी से विस्थापित करता है।
",1
थोड़ी सी उपेक्षा से भी बहुमूल्य जानवर खो दिये जाने की आशंका रहती है .,"थोड़ी सी उपेक्षा से मूल्यवान पशु की हानि हो सकती है।
",1
संयुक़्त प्रांत में मंत्रियों संबंधी संकट उन्होंने दक्षतापूर्वक निपटाया था .,"उन्होंने केंद्रीय प्रांतों में एक मंत्रिस्तरीय संकट से निपटा।
",1
दैनिक जागरण की सफलता का कारण इस पत्र का जनोन्मुखी होना है।,"Ik दैनिक जागरण ’की लोकप्रियता का कारण जनता के प्रति उसका समर्पण है।
",1
उसने ईर्ष्यावश राजा के कान भरे और सुनीती को पुत्र सहित राज़्य के बाहर निकलवा दिया .,"उसने राजा के कान को उनके खिलाफ जहर दिया, और अंत में उन्हें जंगल में भगा दिया।
",1
फिब्बि मंच अष्टांक सॉफ़्टवेयर के हिन्दी प्रचार प्रसार अभियान का एक अंग है ।,"Fibbi अपने हिंदी जागरूकता अभियान के लिए Ashtank सॉफ्टवेयर का एक हिस्सा है।
",1
जेसा कई वक्ताओं ने पिछले कुछ दिनों के दौरान कहा है,"पिछले कुछ दिनों के दौरान जितने भी वक्ताओं ने कहा है,
",1
प्रेम जताने की क्रिया अक्सर मैथुन से पहले निभाई जाती है।,"अचारा को बकवास करने के लिए प्यार का इजहार एक्शन खेला जाता है
",1
यह ईमेल या इंस्टैंट मैसेजिंग जैसे साधनों में प्रयुक्त पुश तकनलाजी से ठीक उलट युक्ति है।,"यह पुश तकनीक का विपरीत संसाधन है जो ईमेल या इंस्टेंट मैसेजिंग जैसे माध्यम में उपयोग किया जाता है।
",1
"सिम कार्ड लॉक है, कृपया पिन दर्ज करें. शेष प्रयास: %{TRIESCOUNT}","सिम कार्ड बंद है, कृपया पिन दर्ज करें। बचे हुए प्रयास:% {TRIESCOUNT}
",1
शिक्षा मुत दी जाती है और कई छात्रों को रहने तथा खाने की सुविधा भी मुत है .,"ट्यूशन मुफ्त है और कई मुफ्त बोर्ड और लॉजिंग प्राप्त करते हैं।
",1
कवि उसके साथ एक अनूठा संबंध महसूस करता है और इस बारे में अपनी कविता में विस्तार से बताता चलता है .,"वह उसके साथ एक अजीब रिश्तेदारी महसूस करता है जिसे वह बाकी कविता में विस्तृत करता है।
",1
अपने कार्यों को एक पाठ फ़ाइल (XML format) में बच रहे हैं.,"आपके कार्य एक पाठ फ़ाइल (XML प्रारूप) में सहेजे गए हैं।
",1
इसके अनेक लक्षण ऐसे होते हैं जो बड़े होने में पाये जाते हैं।,"कई संकेत बड़े होने की तरह हैं। कुछ भी करने से पहले अपने तथ्यों के बारे में सुनिश्चित करें।
",1
चारों ओर चमकते दीपक अत्यंत सुंदर दिखाई देते हैं।,"हर जगह चमकते इन सजावटी दीयों का दृश्य बहुत आकर्षक है।
",1
केवल प्रोपेगंडा और आंदोलन से हम बहुत दूर नहीं जा सकते .,"हम प्रचार और आंदोलन से बहुत दूर नहीं जा सकते।
",1
"इस प्रकार , धागे और थान के संबंध में हमारी आवश्यकता का नाममात्र हिस्सा ही आयात किया","इस प्रकार आयातों ने यार्न और पीस-सामान दोनों के संबंध में हमारी जरूरतों का एक महत्वपूर्ण हिस्सा गठित किया।
",1
जिसे हार जाने का डर होता है उसकी हार निश्चित होती है।,"जिसे विजय प्राप्त होने का भय है, वह पराजित होना निश्चित है।
",1
यह प्रोफ़ाइल अमेज़ॉन किंडल डीएक्स के लिए है.,"यह प्रोफ़ाइल Amazon Kindle DX के लिए है।
",1
इस अवस्था में घोड़े को मुलायम मुंह वाला कहा जाता है .,"कहा जाता है कि इस स्तर पर घोड़े को आसानी से मुंह में रखा जाता है।
",1
टूल बार मे कमान्ड के सबसेट होते है जो मेनू बार को नियन्त्रित करके रखते है ।,"टूलबार में कमांड का एक सबसेट होता है जिसे आप मेनूबार से एक्सेस कर सकते हैं।
",1
"इसके तुरंत बाद ही , शिकागो विश्वविद्यालय ने उन्हें अपने यहां व्याख्यान के लिए आमंत्रित किया .","इसके बाद शिकागो विश्वविद्यालय द्वारा एक व्याख्यान का निमंत्रण दिया गया।
",1
संभवतया किसान वर्ग ब्रितानी उपनिवेशवाद का मुख्य शिकार था .,"किसान उपनिवेशवाद शायद ब्रिटिश उपनिवेशवाद का मुख्य शिकार था।
",1
अधिलेखित फाइल सिस्टम पर कुछ बेअसर है और कुछ BleachBit कार्यों के साथ. अधिलेखित काफी धीमी है.,"ओवरराइटिंग कुछ फ़ाइल सिस्टम पर और कुछ ब्लीचबाइट ऑपरेशन के साथ अप्रभावी है। ओवरराइटिंग काफी धीमी है।
",1
उन्होंने अपने लिए सन्-ऊण्श्छ्ष्- 2001 का महत्वाकांक्षी एजेंड़ा तय कर रखा है .,"उन्होंने 2001 के लिए अपने लिए एक महत्वाकांक्षी एजेंडा तय किया है।
",1
मधुमेह के रोगी को दिए जाने वाले आहार में निम्नलिखित घटक होने चाहिए :,"डायबिटिक के लिए आहार के नुस्खे में निम्नलिखित कॉम- पोर्स हैं:
",1
